n,t
2417,1263
2418,1259
2419,1257
2420,1262
2421,1261
2422,1276
2423,1287
2424,1261
2425,1262
2426,1267
2427,1261
2428,1265
2429,1268
2430,1268
2431,1268
2432,1271
2433,1273
2434,1269
2435,1263
2436,1267
2437,1295
2438,1270
2439,1268
2440,1268
2441,1265
2442,1279
2443,1272
2444,1281
2445,1276
2446,1275
2447,1279
2448,1286
2449,1303
2450,1279
2451,1274
2452,1277
2453,1278
2454,1284
2455,1275
2456,1281
2457,1279
2458,1284
2459,1278
2460,1286
2461,1275
2462,1278
2463,1281
2464,1310
2465,1312
2466,1294
2467,1284
2468,1285
2469,1291
2470,1286
2471,1294
2472,1290
2473,1289
2474,1284
2475,1289
2476,1273
2477,1275
2478,1287
2479,1279
2480,1277
2481,1297
2482,1286
2483,1278
2484,1280
2485,1284
2486,1280
2487,1281
2488,1278
2489,1307
2490,1281
2491,1290
2492,1283
2493,1306
2494,1297
2495,1286
2496,1331
2497,1287
2498,1285
2499,1286
2500,1296
2501,1288
2502,1290
2503,1294
2504,1306
2505,1300
2506,1294
2507,1290
2508,1295
2509,1297
2510,1297
2511,1290
2512,1290
2513,1293
2514,1293
2515,1300
2516,1307
2517,1312
2518,1300
2519,1306
2520,1302
2521,1297
2522,1300
2523,1306
2524,1312
2525,1307
2526,1308
2527,1307
2528,1309
2529,1313
2530,1303
2531,1308
2532,1307
2533,1307
2534,1308
2535,1302
2536,1305
2537,1310
2538,1309
2539,1312
2540,1312
2541,1322
2542,1312
2543,1316
2544,1319
2545,1337
2546,1316
2547,1322
2548,1315
2549,1313
2550,1315
2551,1315
2552,1322
2553,1322
2554,1318
2555,1316
2556,1321
2557,1327
2558,1319
2559,1324
2560,1323
2561,1363
2562,1324
2563,1324
2564,1321
2565,1323
2566,1329
2567,1331
2568,1326
2569,1329
2570,1326
2571,1332
2572,1330
2573,1325
2574,1324
2575,1350
2576,1351
2577,1345
2578,1336
2579,1333
2580,1335
2581,1334
2582,1337
2583,1335
2584,1330
2585,1330
2586,1336
2587,1335
2588,1337
2589,1339
2590,1343
2591,1339
2592,1336
2593,1370
2594,1337
2595,1338
2596,1344
2597,1341
2598,1350
2599,1343
2600,1342
2601,1346
2602,1344
2603,1374
2604,1343
2605,1346
2606,1350
2607,1344
2608,1373
2609,1346
2610,1344
2611,1362
2612,1350
2613,1346
2614,1353
2615,1351
2616,1351
2617,1362
2618,1353
2619,1353
2620,1355
2621,1362
2622,1352
2623,1362
2624,1358
2625,1398
2626,1351
2627,1356
2628,1361
2629,1359
2630,1356
2631,1356
2632,1361
2633,1367
2634,1359
2635,1357
2636,1365
2637,1360
2638,1363
2639,1373
2640,1363
2641,1362
2642,1363
2643,1368
2644,1364
2645,1361
2646,1366
2647,1367
2648,1373
2649,1362
2650,1377
2651,1371
2652,1365
2653,1373
2654,1372
2655,1375
2656,1385
2657,1368
2658,1388
2659,1386
2660,1369
2661,1373
2662,1371
2663,1378
2664,1372
2665,1381
2666,1379
2667,1373
2668,1378
2669,1387
2670,1378
2671,1381
2672,1396
2673,1382
2674,1379
2675,1378
2676,1382
2677,1386
2678,1386
2679,1394
2680,1387
2681,1383
2682,1391
2683,1381
2684,1389
2685,1386
2686,1383
2687,1386
2688,1391
2689,1403
2690,1391
2691,1378
2692,1376
2693,1379
2694,1372
